clinicianId,name,role,specialty,workplace
C001,Dr. David,Thompson,GP,General Practice
C002,Dr. Helen,Roberts,GP,General Practice
C003,Dr. Mark,Davies,GP,General Practice
C004,Dr. Susan,Clarke,GP,General Practice
C005,Dr. Richard,Evans,Consultant,Cardiology
C006,Dr. Maria,Rodriguez,Consultant,Neurology
C007,Dr. Andrew,White,Consultant,Orthopaedics
C008,Dr. Jennifer,Lee,Consultant,Dermatology
C009,Sister Mary,Kelly,Senior Nurse,General Nursing
C010,Nurse Jane,Phillips,Practice Nurse,Practice Nursing
C012,Dr. Paul,Harris,Consultant,Gastroenterology
