patient_id,first_name,last_name,date_of_birth,nhs_number,gender,phone_number,gp_surgery_id
P001,John,Smith,1985-03-15,1234567890,M,07123456789,S001
P002,Emma,Johnson,1990-07-22,2345678901,F,07234567890,S001
P003,Robert,Williams,1975-11-08,3456789012,M,07345678901,S002
P004,Sarah,Brown,1988-09-14,4567890123,F,07456789012,S001
P005,Michael,Davis,1982-12-03,5678901234,M,07567890123,S003
P006,Linda,Miller,1978-04-27,6789012345,F,07678901234,S002
P008,Patricia,Moore,1983-06-11,8901234567,F,07890123456,S003
P009,Christopher,Taylor,1979-10-05,9012345678,M,07901234567,S002
P010,Barbara,Anderson,1991-01-19,0123456789,,07012345678,S001
sdf,sdf,sdf,sdfs,sdf,sdf,5675675675,sdf
sdf,sdf,sdf,2001-05-03,sdf,sdf,5675675675,sdf
asdasd,asdas,sdasda,2001-23-32,sdasd,sdas,3242345235,asdas
