staffId,firstName,lastName,role,department
ST001,Michelle,Adams,Practice Manager,Administration
ST002,James,Wilson,Receptionist,Front Desk
ST003,Carol,Smith,Medical Secretary,Administration
ST004,Peter,Johnson,Healthcare Assistant,Clinical Support
ST005,Sandra,Brown,Practice Manager,Administration
ST006,Kevin,Davis,Receptionist,Front Desk
ST007,Lisa,Miller,Medical Secretary,Administration
ST008,Margaret,Taylor,Practice Manager,Administration
ST009,Robert,Anderson,Receptionist,Front Desk
ST010,Helen,White,Healthcare Assistant,Clinical Support
ST011,David,Thompson,Hospital Administrator,Administration
ST012,Julie,Roberts,Ward Clerk,Administration
ST013,Mark,Evans,Porter,Support Services
ST015,Andrew,Phillips,Medical Records Clerk,Administration
sfsaf,saf,,s,f
